,car_I,num_agents,num_samples,frac_car_I,frac_agents_samples,frac_samples_agents
0,3.0,3.0,3.0,1.0,1.0,1.0
1,1.0,3.0,3.0,0.3333333333333333,1.0,1.0
2,3.0,3.0,3.0,1.0,1.0,1.0
3,3.0,3.0,3.0,1.0,1.0,1.0
4,3.0,3.0,3.0,1.0,1.0,1.0
5,3.0,3.0,3.0,1.0,1.0,1.0
6,3.0,3.0,3.0,1.0,1.0,1.0
7,3.0,3.0,3.0,1.0,1.0,1.0
8,3.0,3.0,3.0,1.0,1.0,1.0
9,3.0,3.0,3.0,1.0,1.0,1.0
10,9.0,9.0,3.0,1.0,3.0,0.3333333333333333
11,9.0,9.0,3.0,1.0,3.0,0.3333333333333333
12,9.0,9.0,3.0,1.0,3.0,0.3333333333333333
13,9.0,9.0,3.0,1.0,3.0,0.3333333333333333
14,9.0,9.0,3.0,1.0,3.0,0.3333333333333333
15,9.0,9.0,3.0,1.0,3.0,0.3333333333333333
16,9.0,9.0,3.0,1.0,3.0,0.3333333333333333
17,9.0,9.0,3.0,1.0,3.0,0.3333333333333333
18,9.0,9.0,3.0,1.0,3.0,0.3333333333333333
19,9.0,9.0,3.0,1.0,3.0,0.3333333333333333
20,15.0,15.0,3.0,1.0,5.0,0.2
21,15.0,15.0,3.0,1.0,5.0,0.2
22,15.0,15.0,3.0,1.0,5.0,0.2
23,15.0,15.0,3.0,1.0,5.0,0.2
24,15.0,15.0,3.0,1.0,5.0,0.2
25,15.0,15.0,3.0,1.0,5.0,0.2
26,15.0,15.0,3.0,1.0,5.0,0.2
27,15.0,15.0,3.0,1.0,5.0,0.2
28,15.0,15.0,3.0,1.0,5.0,0.2
29,15.0,15.0,3.0,1.0,5.0,0.2
30,1.0,21.0,3.0,0.047619047619047616,7.0,0.14285714285714285
31,21.0,21.0,3.0,1.0,7.0,0.14285714285714285
32,21.0,21.0,3.0,1.0,7.0,0.14285714285714285
33,21.0,21.0,3.0,1.0,7.0,0.14285714285714285
34,21.0,21.0,3.0,1.0,7.0,0.14285714285714285
35,21.0,21.0,3.0,1.0,7.0,0.14285714285714285
36,21.0,21.0,3.0,1.0,7.0,0.14285714285714285
37,21.0,21.0,3.0,1.0,7.0,0.14285714285714285
38,21.0,21.0,3.0,1.0,7.0,0.14285714285714285
39,21.0,21.0,3.0,1.0,7.0,0.14285714285714285
40,1.0,27.0,3.0,0.037037037037037035,9.0,0.1111111111111111
41,27.0,27.0,3.0,1.0,9.0,0.1111111111111111
42,1.0,27.0,3.0,0.037037037037037035,9.0,0.1111111111111111
43,27.0,27.0,3.0,1.0,9.0,0.1111111111111111
44,27.0,27.0,3.0,1.0,9.0,0.1111111111111111
45,27.0,27.0,3.0,1.0,9.0,0.1111111111111111
46,27.0,27.0,3.0,1.0,9.0,0.1111111111111111
47,27.0,27.0,3.0,1.0,9.0,0.1111111111111111
48,27.0,27.0,3.0,1.0,9.0,0.1111111111111111
49,27.0,27.0,3.0,1.0,9.0,0.1111111111111111
50,33.0,33.0,3.0,1.0,11.0,0.09090909090909091
51,33.0,33.0,3.0,1.0,11.0,0.09090909090909091
52,33.0,33.0,3.0,1.0,11.0,0.09090909090909091
53,33.0,33.0,3.0,1.0,11.0,0.09090909090909091
54,33.0,33.0,3.0,1.0,11.0,0.09090909090909091
55,33.0,33.0,3.0,1.0,11.0,0.09090909090909091
56,1.0,33.0,3.0,0.030303030303030304,11.0,0.09090909090909091
57,33.0,33.0,3.0,1.0,11.0,0.09090909090909091
58,33.0,33.0,3.0,1.0,11.0,0.09090909090909091
59,33.0,33.0,3.0,1.0,11.0,0.09090909090909091
60,39.0,39.0,3.0,1.0,13.0,0.07692307692307693
61,1.0,39.0,3.0,0.02564102564102564,13.0,0.07692307692307693
62,38.0,39.0,3.0,0.9743589743589743,13.0,0.07692307692307693
63,39.0,39.0,3.0,1.0,13.0,0.07692307692307693
64,35.0,39.0,3.0,0.8974358974358975,13.0,0.07692307692307693
65,39.0,39.0,3.0,1.0,13.0,0.07692307692307693
66,39.0,39.0,3.0,1.0,13.0,0.07692307692307693
67,39.0,39.0,3.0,1.0,13.0,0.07692307692307693
68,39.0,39.0,3.0,1.0,13.0,0.07692307692307693
69,38.0,39.0,3.0,0.9743589743589743,13.0,0.07692307692307693
70,1.0,45.0,3.0,0.022222222222222223,15.0,0.06666666666666667
71,1.0,45.0,3.0,0.022222222222222223,15.0,0.06666666666666667
72,45.0,45.0,3.0,1.0,15.0,0.06666666666666667
73,1.0,45.0,3.0,0.022222222222222223,15.0,0.06666666666666667
74,1.0,45.0,3.0,0.022222222222222223,15.0,0.06666666666666667
75,1.0,45.0,3.0,0.022222222222222223,15.0,0.06666666666666667
76,2.0,45.0,3.0,0.044444444444444446,15.0,0.06666666666666667
77,1.0,45.0,3.0,0.022222222222222223,15.0,0.06666666666666667
78,21.0,45.0,3.0,0.4666666666666667,15.0,0.06666666666666667
79,1.0,45.0,3.0,0.022222222222222223,15.0,0.06666666666666667
80,1.0,51.0,3.0,0.0196078431372549,17.0,0.058823529411764705
81,1.0,51.0,3.0,0.0196078431372549,17.0,0.058823529411764705
82,4.0,51.0,3.0,0.0784313725490196,17.0,0.058823529411764705
83,1.0,51.0,3.0,0.0196078431372549,17.0,0.058823529411764705
84,1.0,51.0,3.0,0.0196078431372549,17.0,0.058823529411764705
85,51.0,51.0,3.0,1.0,17.0,0.058823529411764705
86,1.0,51.0,3.0,0.0196078431372549,17.0,0.058823529411764705
87,1.0,51.0,3.0,0.0196078431372549,17.0,0.058823529411764705
88,2.0,51.0,3.0,0.0392156862745098,17.0,0.058823529411764705
89,1.0,51.0,3.0,0.0196078431372549,17.0,0.058823529411764705
90,5.0,60.0,3.0,0.08333333333333333,20.0,0.05
91,2.0,60.0,3.0,0.03333333333333333,20.0,0.05
92,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
93,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
94,60.0,60.0,3.0,1.0,20.0,0.05
95,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
96,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
97,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
98,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
99,1.0,60.0,3.0,0.016666666666666666,20.0,0.05
100,4.0,4.0,4.0,1.0,1.0,1.0
101,4.0,4.0,4.0,1.0,1.0,1.0
102,4.0,4.0,4.0,1.0,1.0,1.0
103,4.0,4.0,4.0,1.0,1.0,1.0
104,4.0,4.0,4.0,1.0,1.0,1.0
105,4.0,4.0,4.0,1.0,1.0,1.0
106,4.0,4.0,4.0,1.0,1.0,1.0
107,4.0,4.0,4.0,1.0,1.0,1.0
108,4.0,4.0,4.0,1.0,1.0,1.0
109,4.0,4.0,4.0,1.0,1.0,1.0
110,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
111,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
112,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
113,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
114,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
115,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
116,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
117,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
118,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
119,12.0,12.0,4.0,1.0,3.0,0.3333333333333333
120,20.0,20.0,4.0,1.0,5.0,0.2
121,20.0,20.0,4.0,1.0,5.0,0.2
122,20.0,20.0,4.0,1.0,5.0,0.2
123,20.0,20.0,4.0,1.0,5.0,0.2
124,20.0,20.0,4.0,1.0,5.0,0.2
125,20.0,20.0,4.0,1.0,5.0,0.2
126,20.0,20.0,4.0,1.0,5.0,0.2
127,20.0,20.0,4.0,1.0,5.0,0.2
128,20.0,20.0,4.0,1.0,5.0,0.2
129,20.0,20.0,4.0,1.0,5.0,0.2
130,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
131,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
132,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
133,27.0,28.0,4.0,0.9642857142857143,7.0,0.14285714285714285
134,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
135,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
136,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
137,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
138,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
139,28.0,28.0,4.0,1.0,7.0,0.14285714285714285
140,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
141,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
142,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
143,34.0,36.0,4.0,0.9444444444444444,9.0,0.1111111111111111
144,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
145,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
146,17.0,36.0,4.0,0.4722222222222222,9.0,0.1111111111111111
147,36.0,36.0,4.0,1.0,9.0,0.1111111111111111
